,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
CHIC2,0.448775057,0.437461881,0.248891151,0.173257107,0.722657414,0.347165062,1.014367335,0.469728438,0.299655209,0.338946965,0.371753648,0.595633937,0.477355249,0.480152864,0.270051349,0.184616079,0.329234164,0.234832452,0.636157688,0.595134124,0.493166788,0.669732856
SRD5A3,0.181428277,0.36789451,0.421973187,0.433437408,0.826042997,0.464673553,0.387705835,0.669986192,0.322647186,0.608183735,0.464404635,0.318313514,0.320142692,0.153984757,0.398284068,0.234962721,0.166128716,0.214932999,0.384573842,0.591531325,0.521927744,0.138094252
TMEM165,0.774273101,0.867725257,0.683354108,0.466256154,1.168975678,0.666746435,0.993850825,0.910921121,0.627139296,0.766924598,0.929401637,0.662821876,1.047104819,0.618063347,0.562870549,0.339185712,0.778389881,0.289290988,0.960463664,0.915217944,0.847332357,0.618150254
CLOCK,0.113934022,0.106020272,0.091458078,0.067863586,0.137650299,0.063150494,0.112525502,0.107048805,0.112166381,0.092462494,0.119619973,0.121871914,0.185358042,0.105569573,0.093323245,0.057674765,0.100160912,0.035887707,0.115264254,0.117614009,0.086798469,0.09895529
EXOC1,0.174108008,0.22259393,0.296513078,0.200509599,0.508030004,0.170955451,0.360628923,0.29722635,0.281309439,0.246252357,0.26011964,0.288768644,0.401286231,0.216550653,0.157423744,0.128946722,0.334659297,0.082029852,0.293875387,0.32135695,0.173967247,0.366691016
CEP135,0.068529341,0.095471162,0.112237989,0.057353795,0.138301513,0.066489291,0.121380974,0.083501218,0.092112332,0.097080388,0.078319993,0.101014043,0.194464623,0.107200084,0.06761327,0.034497447,0.128491382,0.024592904,0.117114372,0.082976604,0.040602968,0.142733609
AASDH,0.044844686,0.073753647,0.073232097,0.055855395,0.144167138,0.0769008,0.132551001,0.130779204,0.074489704,0.057053232,0.078722635,0.068484435,0.115242602,0.063290966,0.054070302,0.057630782,0.093227641,0.036045286,0.090574596,0.116022776,0.075042953,0.065239276
PAICS,0.184829949,0.174716055,0.171044231,0.139077549,0.272902636,0.159498326,0.136199993,0.143001645,0.176191602,0.208564688,0.200938198,0.14314543,0.260408513,0.089379096,0.162616071,0.081395569,0.08954904,0.047222358,0.175050885,0.156504334,0.125720825,0.068653704
SRP72,0.503285537,0.59114343,0.703624074,0.464535401,1.446302682,0.589520629,1.042043423,0.601115697,0.606304653,0.794031178,0.82072339,0.612120426,0.676067102,0.419170756,0.342310031,0.291788573,0.402153327,0.313294084,0.880211648,0.80449478,0.336513341,0.552555347
HOPX,0.045214036,0.105579212,0.795436863,0.333431919,0.740029034,1.846419538,0.367439416,0.344097179,1.10249744,2.107550384,1.875165578,0.53783494,0.081870372,0.471480013,0.249985911,0.061509115,0.034681693,0.162760542,0.83531387,0.050919226,0.097099284,0.091168616
REST,0.25055172,0.406270269,0.370803328,0.215345739,0.611214549,0.364399117,0.556640767,0.387810174,0.323530986,0.325135235,0.415839397,0.364275842,0.535742476,0.359028075,0.272188083,0.160865473,0.330750248,0.097580914,0.420392874,0.404958584,0.145788744,0.357328477
POLR2B,0.285309774,0.276622248,0.263314674,0.165831805,0.399225837,0.22826987,0.22431997,0.26928262,0.299372662,0.271681828,0.260674956,0.258752839,0.448634727,0.155937665,0.190963864,0.132642828,0.227756359,0.106712184,0.353895031,0.300619716,0.175025645,0.439388289
IGFBP7,2.265184618,1.355909431,1.158401198,0.560767801,0.698612618,3.059444875,0.247085886,0.422509837,0.746867216,0.633236188,0.590277398,0.443672383,1.255122651,0.5463641,0.903433986,0.728699618,0.335702526,0.121687906,0.312630655,0.207062912,1.787917656,0.303182384
CENPC,0.187252582,0.221872321,0.115138568,0.088560592,0.318608792,0.240825058,0.178108967,0.233931703,0.181601136,0.194223691,0.168475891,0.273088054,0.2827203,0.277534979,0.148925378,0.093063973,0.384970836,0.056635432,0.263794228,0.269031261,0.055679897,0.567179956
UBA6,0.289152412,0.223764791,0.193604449,0.134666565,0.272871577,0.166411155,0.216694806,0.257397739,0.172596674,0.15727047,0.201015982,0.206498149,0.409681946,0.178710611,0.13219753,0.110967285,0.305225837,0.063293403,0.201167627,0.217846076,0.16140249,0.293087268
YTHDC1,0.442835259,0.347515889,0.457558156,0.24710744,0.68537106,0.354737742,0.809274595,0.455392105,0.349822213,0.401203221,0.425524972,0.558857507,0.719397818,0.439076402,0.262892362,0.363406719,0.489278761,0.095609588,0.451842031,0.397939958,0.302814157,0.485934652
