geneName,ipf_n,control_n,ipf_mean,control_mean,ipf_sd,control_sd,contrast,diff,SE,tratio,pvalue
WIZ,103,103,9.907880475,10.12114414,0.400714609,0.35028529,ipf - control,-0.200677418,0.054208058,-3.701985036,0.000278699
RABGAP1,103,103,7.4027364,7.61427378,0.83123186,0.726136768,ipf - control,-0.183572311,0.111928408,-1.640086861,0.102607545
DCN,103,103,15.8776858,15.79690806,0.687813806,0.757074963,ipf - control,0.082183888,0.104093747,0.789518007,0.430773197
QPCTL,103,103,6.882114854,6.654909131,0.779103571,0.686175319,ipf - control,0.253578661,0.106223968,2.387207582,0.01793752
PPP5C,103,103,11.02313667,11.16656699,0.436828399,0.380640343,ipf - control,-0.123751523,0.058322454,-2.121850391,0.035119281
CEP68,103,103,5.945890221,5.904833595,0.767707411,0.683765139,ipf - control,0.064856393,0.102896984,0.630304127,0.529237358
MAP4K3,103,103,9.023290858,9.544711576,0.525339029,0.422404503,ipf - control,-0.512280054,0.069025313,-7.421625942,3.54E-12
ZBTB32,103,103,6.821616935,5.935988524,0.850984043,0.990436671,ipf - control,0.880238203,0.131769749,6.680123555,2.46E-10
TYROBP,103,103,14.1759606,14.8349745,0.85240689,0.584501118,ipf - control,-0.704952169,0.10328303,-6.825440409,1.09E-10
TMEM159,103,103,9.829131552,9.850106587,0.504748166,0.461693939,ipf - control,-0.039014799,0.06933419,-0.562706496,0.574284441
GABRA3,103,103,0.157340763,0.066461068,0.577267314,0.499008863,ipf - control,0.118786207,0.077883593,1.525176252,0.12884371
BRCA1,103,103,7.118275799,7.216227469,0.638589459,0.591057599,ipf - control,-0.108156315,0.089628861,-1.206713047,0.229012056
ERCC1,103,103,11.69279103,11.66719965,0.375324827,0.345612511,ipf - control,0.027957298,0.052325907,0.534291704,0.593751476
CD22,103,103,8.488895156,8.168822806,0.787545092,0.983198773,ipf - control,0.355409677,0.124760146,2.848743674,0.004862723
SEMA3B,103,103,10.56107265,11.45182339,0.689190319,0.717721722,ipf - control,-0.898687562,0.101448014,-8.858601855,5.16E-16
MBTPS2,103,103,3.516274403,3.713458518,0.991554399,0.889267784,ipf - control,-0.159134621,0.132695767,-1.199244136,0.231895718
PRICKLE3,103,103,7.92903491,7.947249586,0.59555544,0.502662077,ipf - control,-0.01418074,0.079439364,-0.178510244,0.858508553
LTF,103,103,9.967018335,8.998523792,1.990316387,1.464132555,ipf - control,0.961711281,0.246193394,3.906324479,0.000129339
EXTL3,103,103,9.045557131,9.143369297,0.363814457,0.388590173,ipf - control,-0.093181596,0.054150125,-1.720801137,0.086881278
NR1H4,103,103,1.799414052,2.983415098,1.246374703,1.327919385,ipf - control,-1.160247992,0.181431226,-6.394974115,1.17E-09
ELOVL5,103,103,8.661007765,9.096911096,0.600044545,0.690949255,ipf - control,-0.429376716,0.092350902,-4.649404682,6.14E-06
ALOX5,103,103,11.24511776,12.05860132,1.020342676,0.824468516,ipf - control,-0.830650037,0.132533113,-6.267490595,2.32E-09
KDM5D,103,103,7.909552473,7.154714493,3.608771387,3.501260968,ipf - control,0.057101979,0.302473206,0.188783593,0.850459775
CALCOCO1,103,103,11.96500605,12.40001034,0.596226524,0.512156034,ipf - control,-0.438628862,0.080470724,-5.450788047,1.51E-07
UBR7,103,103,5.480189614,5.774289734,0.939237173,0.874037093,ipf - control,-0.252291369,0.130884163,-1.927592788,0.055366245
MAP4K5,103,103,9.949633124,10.33372602,0.49236013,0.408614153,ipf - control,-0.376361606,0.065270921,-5.766145141,3.15E-08
PSMC4,103,103,11.23498265,11.2996146,0.31214583,0.432145131,ipf - control,-0.059729103,0.053516189,-1.116094087,0.265762365
MAN2B2,103,103,9.82341506,10.04336286,0.379272185,0.383493331,ipf - control,-0.229890523,0.055107488,-4.171674867,4.56E-05
SLC7A14,103,103,4.909801213,4.93871894,1.200996879,1.005503586,ipf - control,-0.015337652,0.157738482,-0.09723469,0.9226404
CLDN11,103,103,8.136721507,8.738634742,0.757618402,0.772855147,ipf - control,-0.594937246,0.109843258,-5.416238191,1.79E-07
SLC25A39,103,103,11.74249296,11.71747779,0.384431572,0.368619739,ipf - control,0.029610443,0.054367649,0.544633509,0.586631098
MVP,103,103,11.16624942,11.32966989,0.470725433,0.417285799,ipf - control,-0.158332592,0.06411278,-2.469594857,0.014390649
NUB1,103,103,10.80440164,11.10362703,0.38860154,0.325146584,ipf - control,-0.300590669,0.051388385,-5.849389311,2.07E-08
PGM3,103,103,9.272325223,9.240051817,0.859528021,0.768348237,ipf - control,0.041671405,0.117205788,0.355540503,0.722570988
CLK1,103,103,12.32622148,12.71967016,0.73585206,0.562168209,ipf - control,-0.375674386,0.093719182,-4.008511146,8.71E-05
POLR3B,103,103,3.888950101,4.419779135,2.375659515,2.149355668,ipf - control,-0.55217807,0.331274447,-1.666829648,0.097161883
ANGEL1,103,103,9.295526315,9.470529074,0.599221328,0.480596259,ipf - control,-0.173869546,0.078511242,-2.214581515,0.027952999
RNF14,103,103,10.39790542,10.62976806,0.406175224,0.441569824,ipf - control,-0.219468527,0.061778276,-3.55251947,0.000479033
DNASE1L1,103,103,9.079333929,9.535512832,0.54352825,0.447568287,ipf - control,-0.434550647,0.071325467,-6.092503321,5.87E-09
DDX11,103,103,10.17335741,10.05214667,0.873435586,0.783686518,ipf - control,0.138462919,0.118464542,1.168813182,0.243913106
HEBP1,103,103,6.079611764,6.192052191,0.813299896,0.644972596,ipf - control,-0.119352236,0.105507486,-1.13122054,0.259358724
GPRC5A,103,103,12.47238268,13.18492059,1.05029987,0.970099317,ipf - control,-0.738376459,0.14611379,-5.05343445,9.99E-07
MAMLD1,103,103,7.73829858,7.88865008,0.768898966,0.770227066,ipf - control,-0.120361184,0.109998526,-1.094207246,0.275220806
CD6,103,103,9.008092187,9.001379296,0.664972476,0.88053559,ipf - control,-0.002724369,0.109610513,-0.024854995,0.980196172
TACC3,103,103,8.588482679,8.635448075,0.760240773,0.774532218,ipf - control,-0.024325745,0.110417893,-0.220306184,0.825864367
UFL1,103,103,4.908225504,4.985877921,0.920614106,0.95558136,ipf - control,-0.042278526,0.134086183,-0.315308596,0.752866269
POLA2,103,103,8.626194308,9.048884443,0.516643651,0.403068727,ipf - control,-0.411218696,0.066699941,-6.165203255,4.00E-09
ZC3H3,103,103,4.065357018,4.755359581,1.325254899,1.011342519,ipf - control,-0.666239315,0.168267441,-3.959407195,0.000105417
CAPN1,103,103,12.05917468,12.08136589,0.407261025,0.348248115,ipf - control,-0.021643395,0.054450108,-0.397490398,0.691442869
ACPP,103,103,6.303476253,7.064803158,0.841288357,0.988046001,ipf - control,-0.769002853,0.126041103,-6.101206933,5.61E-09
MDH1,103,103,11.73294651,11.69010265,0.519355877,0.424688024,ipf - control,0.035525596,0.068969421,0.515091984,0.607075148
SLC30A9,103,103,9.566689704,9.751237444,0.571599367,0.482333618,ipf - control,-0.177435078,0.076400642,-2.322429145,0.02124725
MTMR11,103,103,8.964859542,8.882745048,0.920456025,0.667138835,ipf - control,0.073208283,0.115513873,0.633761831,0.526982767
COX15,103,103,9.78950961,9.93570269,0.493646406,0.407583891,ipf - control,-0.135746949,0.065352423,-2.077152505,0.039104536
